193.42.61.12 - - [05/Jun/2026:01:06:11 +0300] "POST /wp-login.php HTTP/1.1" 200 2239 "https://kaf-ui.tntu.edu.ua/wp-login.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
201.76.149.85 - - [05/Jun/2026:01:07:41 +0300] "POST /xmlrpc.php HTTP/1.1" 200 6263 "-" "Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
103.82.21.169 - - [05/Jun/2026:01:10:04 +0300] "GET /wp-login.php HTTP/1.1" 200 7563 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
103.82.21.169 - - [05/Jun/2026:01:10:05 +0300] "POST /wp-login.php HTTP/1.1" 200 2239 "https://kaf-ui.tntu.edu.ua/wp-login.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
50.87.144.165 - - [05/Jun/2026:01:16:39 +0300] "POST /xmlrpc.php HTTP/1.1" 200 6263 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
91.192.104.83 - - [05/Jun/2026:01:16:40 +0300] "POST /wp-cron.php?doing_wp_cron=1780611400.0111989974975585937500 HTTP/1.1" 200 5931 "https://kaf-ui.tntu.edu.ua/wp-cron.php?doing_wp_cron=1780611400.0111989974975585937500" "WordPress/4.9.29; https://kaf-ui.tntu.edu.ua"
66.29.156.133 - - [05/Jun/2026:01:23:00 +0300] "POST /xmlrpc.php HTTP/1.1" 200 6263 "-" "Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
198.38.94.18 - - [05/Jun/2026:01:36:10 +0300] "POST /xmlrpc.php HTTP/1.1" 200 6263 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
85.137.57.233 - - [05/Jun/2026:01:47:46 +0300] "GET / HTTP/1.1" 301 5966 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"
50.6.169.131 - - [05/Jun/2026:02:02:29 +0300] "POST /xmlrpc.php HTTP/1.1" 200 6263 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 14_7_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
195.250.23.247 - - [05/Jun/2026:02:02:35 +0300] "POST /xmlrpc.php HTTP/1.1" 200 6263 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
198.38.94.18 - - [05/Jun/2026:02:13:40 +0300] "GET /wp-login.php HTTP/1.1" 200 7563 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
91.192.104.83 - - [05/Jun/2026:02:13:41 +0300] "POST /wp-cron.php?doing_wp_cron=1780614821.1582880020141601562500 HTTP/1.1" 200 5931 "https://kaf-ui.tntu.edu.ua/wp-cron.php?doing_wp_cron=1780614821.1582880020141601562500" "WordPress/4.9.29; https://kaf-ui.tntu.edu.ua"
198.38.94.18 - - [05/Jun/2026:02:13:42 +0300] "POST /wp-login.php HTTP/1.1" 200 2239 "https://kaf-ui.tntu.edu.ua/wp-login.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
194.163.139.224 - - [05/Jun/2026:02:18:11 +0300] "POST /xmlrpc.php HTTP/1.1" 200 6263 "-" "Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"
79.131.103.152 - - [05/Jun/2026:02:20:45 +0300] "POST /xmlrpc.php HTTP/1.1" 200 6263 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
51.75.171.201 - - [05/Jun/2026:02:22:19 +0300] "POST /xmlrpc.php HTTP/1.1" 200 6263 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
54.234.161.168 - - [05/Jun/2026:02:23:37 +0300] "POST / HTTP/1.1" 406 10417 "https://kaf-ui.tntu.edu.ua/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
162.240.171.12 - - [05/Jun/2026:02:27:19 +0300] "POST /xmlrpc.php HTTP/1.1" 200 6263 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Safari/605.1.15"
103.91.67.202 - - [05/Jun/2026:02:32:36 +0300] "GET /wp-login.php HTTP/1.1" 200 7563 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
103.91.67.202 - - [05/Jun/2026:02:32:37 +0300] "POST /wp-login.php HTTP/1.1" 200 2239 "https://kaf-ui.tntu.edu.ua/wp-login.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
129.121.76.191 - - [05/Jun/2026:02:45:54 +0300] "GET /wp-login.php HTTP/1.1" 200 7563 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Safari/605.1.15"
